title,site_url,date,description,calendar
Colorado WASH Symposium 2023,https://www.colorado.edu/washsymposium/,2023-03-09T00:00:00Z,"<a href=""https://openwashdata.org/pages/gallery/slides/"">openwashdata - 15-minute conference presentation that introduces the community</a>","<a title=""Add to Calendar"" class=""addeventatc"" data-id=""MJ16078482"" href=""https://www.addevent.com/event/MJ16078482"">Add to Calendar</a> <script type=""text/javascript"" src=""https://cdn.addevent.com/libs/atc/1.6.1/atc.min.js"" async defer></script>"
Stockholm World Water Week 2023,https://www.worldwaterweek.org/,2023-08-20T00:00:00Z,"<a href=""https://www.susana.org/en/news-and-events/sanitation-events/susana-meetings/2023/859-33rd-susana-meeting"">Find us at the 33rd SuSanA Meeting</a>","<a title=""Email to meet us"" href=""mailto:mzhong@ethz.ch, sloos@ethz.ch?bcc=ghe@mavt.ethz.ch&subject=Meeting at Stockholm WWW 2023"">Send Email</a>"
ds4owd-001: data science for openwashdata course 001,https://ds4owd-001.github.io/website/,2023-10-31T00:00:00Z,"<a href=""https://ds4owd-001.github.io/website/"">Start of our first free course to learn data science</a>","<a title=""Add to Calendar"" class=""addeventatc"" data-id=""Gl18823217"" href=""https://www.addevent.com/event/Gl18823217"">Add to Calendar</a> <script type=""text/javascript"" src=""https://cdn.addevent.com/libs/atc/1.6.1/atc.min.js"" async defer></script>"
UNC Water & Health Conference 2023,https://waterinstitute.unc.edu/our-work/unc-water-and-health-conference,2023-10-27T00:00:00Z,"<a href=""https://waterinstitute.unc.edu/our-work/unc-water-and-health-conference"">Find us at the UNC Water & Health Conference 2023</a>","<a title=""Email to meet us"" href=""mailto:mzhong@ethz.ch?subject=Meeting at UNC 2023"">Send Email</a>"
Side Event: UNC Water & Health Conference 2023,https://openwashdata.org/pages/events/2023_unc-water-health-conference/,2023-10-27T00:00:00Z,"<a href=""/pages/events/2023_unc-water-health-conference/"">Data A Key to Unlocking Quality in WASH Programmes</a>","<a title=""Add to Calendar"" class=""addeventatc"" data-id=""qy18952090"" href=""https://www.addevent.com/event/qy18952090"">Add to Calendar</a> <script type=""text/javascript"" src=""https://cdn.addevent.com/libs/atc/1.6.1/atc.min.js"" async defer></script>"
openwashdata webinar: a data sharing workflow that may please the publishers,NA,2024-01-23T00:00:00Z,"<a href=""/pages/events/2023-01-24-webinar-data-publishing/"">A joint webinar with PLOS about the benefits of open data </a>",-
WASHWeb Webinar: The Future of Our WASH Data Ecosystem,NA,2024-04-04T00:00:00Z,"<a href=""/pages/events/2024-04-04-webinar-washweb/""> A webinar with eight speakers leading the discussion around data in WASH</a>","<a title=""Zoom meeting registration"" href=""https://us06web.zoom.us/meeting/register/tZUpfuGqqjoqEtEzlGdETK1t7dPsfswHnozN#/registration"">Register for Zoom meeting</a>"
openwashdata & WASHWeb partnership workshop,NA,2024-04-09T00:00:00Z,"<a href=""/pages/events/2024-04-09-workshop-washweb/""> A workshop with our partners from WASHWeb</a>",-
openwashdata Data Package Hackathon,NA,2024-06-21T00:00:00Z,"<a href=""/pages/events/2024-06-21-hackathon/""> An one-day hackathon to develop an R data package with washr</a>",-
WASHWeb Webinar: Partnerships,NA,2024-07-11T00:00:00Z,"<a href=""/pages/events/2024-06-27-webinar-partnerships/""> A workshop with our partners from WASHWeb</a>","<a title=""Zoom meeting registration"" href=""https://us06web.zoom.us/meeting/register/tZIqcuyvpjMqE909WHJvrJhJynL23M-taso5#/registration"">Register for Zoom meeting</a>"
