Cost Category,Cost Sub Category,Cost Item,Description,Cost,Source,Institution,Justification
Direct costs,Personell,Other,Salary Open Science Specialist Lars Schöbitz,,In-kind,GHE,
Direct costs,Personell,Other,Salary Open Science Specialist Lars Schöbitz,,ORD,GHE,
Direct costs,Personell,Other,Salary Scientific Assisstant,,ORD,GHE,
Subcontracting costs,Personell,Other,Salary Data Steward 1 (University South Africa),,ORD,UKZN,
Subcontracting costs,Personell,Other,Salary Data Steward 1 (University South Africa),,In-kind,GHE,
Subcontracting costs,Personell,Other,Salary Data Steward 2 (NGO Malawi),,ORD,BASEflow,
Subcontracting costs,Personell,Other,Salary Data Steward 2 (NGO Malawi),,In-kind,GHE,
Direct costs,Other,Conferences and workshops,Expenses for hosting of openwashdata data steward conference,,In-kind,GHE,
Direct costs,Equipment,Equipment,ORD tools and infrastructure,,In-kind,GHE,
NA,NA,NA,NA,,NA,NA,
NA,NA,NA,NA,,Source,Institution,
NA,NA,NA,NA,,ORD,GHE,
NA,NA,NA,NA,,ORD,UKZN,
NA,NA,NA,NA,,ORD,BASEflow,
NA,NA,NA,NA,,In-kind,GHE,
NA,NA,NA,NA,,In-kind,UKZN,
NA,NA,NA,NA,,In-kind,BASEflow,
NA,NA,NA,NA,,Total,NA,
NA,NA,NA,NA,,NA,NA,
NA,NA,NA,NA,,Source,NA,
NA,NA,NA,NA,,ORD,NA,
NA,NA,NA,NA,,In-kind,NA,
